"","sci_name","presence","origin","seasonal","compiler","yrcompiled","citation","dec_lat","dec_long","spatialref","subspecies","subpop","data_sens","sens_comm","event_year","source","basisOfRecord","catalogNumber","recordedBy","recordNumber","dist_comm","tax_comm"
"125","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,-2.1,29.75,"WGS84",NA,NA,NA,NA,1970,"http://www.botanicalcollections.be/specimen/BR0000008568731","PRESERVED_SPECIMEN","BR0000008568731","Bouxin G. & Radoux M.","BR",NA,NA
"126","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,-1.916667,30.75,"WGS84",NA,NA,NA,NA,1970,"http://www.botanicalcollections.be/specimen/BR0000008569097","PRESERVED_SPECIMEN","BR0000008569097","Bouxin G. & Radoux M.","BR",NA,NA
"127","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,-2.233333,29.783333,"WGS84",NA,NA,NA,NA,1970,"http://www.botanicalcollections.be/specimen/BR0000008568762","PRESERVED_SPECIMEN","BR0000008568762","Bouxin G. & Radoux M.","BR",NA,NA
"128","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,15.583333,39.25,"WGS84",NA,NA,NA,NA,1969,"https://data.biodiversitydata.nl/naturalis/specimen/WAG.1280675","PRESERVED_SPECIMEN","WAG.1280675","Wilde JJFE de","Botany",NA,NA
"129","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,-1.966667,30.566667,"WGS84",NA,NA,NA,NA,1969,"http://www.botanicalcollections.be/specimen/BR0000008568786","PRESERVED_SPECIMEN","BR0000008568786","Bouxin G. & Radoux M.","BR",NA,NA
"130","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,-10.266667,28.133333,"WGS84",NA,NA,NA,NA,1969,"http://www.botanicalcollections.be/specimen/BR0000005970124","PRESERVED_SPECIMEN","BR0000005970124","Malaisse F.","BR",NA,NA
"131","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,-1.783333,30.7,"WGS84",NA,NA,NA,NA,1969,"http://www.botanicalcollections.be/specimen/BR0000008568144","PRESERVED_SPECIMEN","BR0000008568144","Bouxin G. & Radoux M.","BR",NA,NA
"132","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,-2.35,29.45,"WGS84",NA,NA,NA,NA,1969,"http://www.botanicalcollections.be/specimen/BR0000008568526","PRESERVED_SPECIMEN","BR0000008568526","Neel H.","BR",NA,NA
"133","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,-20.416667,17.25,"WGS84",NA,NA,NA,NA,1968,"https://data.biodiversitydata.nl/naturalis/specimen/WAG.1280669","PRESERVED_SPECIMEN","WAG.1280669","Meyer PG","Botany",NA,NA
"134","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,8.9,39.866667,"WGS84",NA,NA,NA,NA,1966,"https://data.biodiversitydata.nl/naturalis/specimen/WAG.1280676","PRESERVED_SPECIMEN","WAG.1280676","Wilde WJJO de; Wilde-Duyfjes BEE de","Botany",NA,NA
"135","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,8.9,39.866667,"WGS84",NA,NA,NA,NA,1966,"https://data.biodiversitydata.nl/naturalis/specimen/WAG.1280677","PRESERVED_SPECIMEN","WAG.1280677","Wilde WJJO de; Wilde-Duyfjes BEE de","Botany",NA,NA
"136","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,7.2,38.6,"WGS84",NA,NA,NA,NA,1965,"LD:General:1566862","PRESERVED_SPECIMEN","1566862","W. J. J. O. de Wilde & B. E. E. de Wilde-Duyfjes","General",NA,NA
"137","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,7,38,"WGS84",NA,NA,NA,NA,1965,"https://data.biodiversitydata.nl/naturalis/specimen/WAG0000015","PRESERVED_SPECIMEN","WAG0000015","Wilde WJJO de; Wilde-Duyfjes BEE de","Botany",NA,NA
"138","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,7,38,"WGS84",NA,NA,NA,NA,1965,"https://data.biodiversitydata.nl/naturalis/specimen/WAG0000016","PRESERVED_SPECIMEN","WAG0000016","Wilde WJJO de; Wilde-Duyfjes BEE de","Botany",NA,NA
"139","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,4.883333,38.083333,"WGS84",NA,NA,NA,NA,1962,"https://data.biodiversitydata.nl/naturalis/specimen/WAG.1280686","PRESERVED_SPECIMEN","WAG.1280686","Mooney HF","Botany",NA,NA
"140","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,-22.05,17.366667,"WGS84",NA,NA,NA,NA,1961,"https://data.biodiversitydata.nl/naturalis/specimen/L.2833574","PRESERVED_SPECIMEN","L.2833574","Seydel R","Botany",NA,NA
"141","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,2.033333,30.533333,"WGS84",NA,NA,NA,NA,1959,"http://www.botanicalcollections.be/specimen/BR0000008567802","PRESERVED_SPECIMEN","BR0000008567802","Deville A.","BR",NA,NA
"142","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,-3.25,30.033333,"WGS84",NA,NA,NA,NA,1958,"http://www.botanicalcollections.be/specimen/BR0000008568663","PRESERVED_SPECIMEN","BR0000008568663","Van Der Ben D.","BR",NA,NA
"143","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,-1.4,30.55,"WGS84",NA,NA,NA,NA,1958,"http://www.botanicalcollections.be/specimen/BR0000008568243","PRESERVED_SPECIMEN","BR0000008568243","Troupin G.","BR",NA,NA
"144","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,-3.8,29.416667,"WGS84",NA,NA,NA,NA,1958,"http://www.botanicalcollections.be/specimen/BR0000008568878","PRESERVED_SPECIMEN","BR0000008568878","Van Der Ben D.","BR",NA,NA
"145","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,-2.3,30.166667,"WGS84",NA,NA,NA,NA,1958,"http://www.botanicalcollections.be/specimen/BR0000008568908","PRESERVED_SPECIMEN","BR0000008568908","Troupin G.","BR",NA,NA
"146","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,-1.45,30.45,"WGS84",NA,NA,NA,NA,1958,"http://www.botanicalcollections.be/specimen/BR0000008561428","PRESERVED_SPECIMEN","BR0000008561428","Troupin G.","BR",NA,NA
"147","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,-2.416667,30.166667,"WGS84",NA,NA,NA,NA,1958,"http://www.botanicalcollections.be/specimen/BR0000008561459","PRESERVED_SPECIMEN","BR0000008561459","Troupin G.","BR",NA,NA
